frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected
348,5.806,640.00,583.54,-0.086017,-0.002197,0.085116,0.232319,1.000000,TURN LEFT,1,1
354,5.906,640.00,587.32,-0.075601,-0.006716,0.077818,0.234007,1.000000,TURN LEFT,1,1
360,6.006,640.00,589.89,-0.065624,-0.012665,0.071051,0.235470,1.000000,TURN LEFT,1,1
366,6.106,640.00,596.93,-0.053248,-0.014046,0.063716,0.237853,1.000000,GO STRAIGHT,1,1
372,6.206,640.00,603.59,-0.043250,-0.013639,0.056294,0.239922,1.000000,GO STRAIGHT,1,1
378,6.306,640.00,608.82,-0.037810,-0.010908,0.040532,0.250000,1.000000,GO STRAIGHT,1,1
384,6.406,640.00,612.28,-0.028772,-0.014538,0.029183,0.250000,1.000000,GO STRAIGHT,1,1
390,6.506,640.00,617.62,-0.023767,-0.011209,0.021012,0.250000,1.000000,GO STRAIGHT,1,1
396,6.607,640.00,614.90,-0.021139,-0.018073,0.015128,0.250000,1.000000,GO STRAIGHT,1,1
402,6.707,640.00,611.84,-0.013430,-0.030565,0.010892,0.250000,1.000000,GO STRAIGHT,1,1
408,6.807,640.00,595.33,-0.067030,-0.002766,0.022190,0.236122,1.000000,TURN LEFT,1,1
414,6.907,640.00,591.55,-0.076522,0.000818,0.031966,0.234534,1.000000,TURN LEFT,1,1
420,7.007,640.00,592.48,-0.111728,0.037476,0.042806,0.230858,1.000000,TURN LEFT,1,1
426,7.107,640.00,598.81,-0.085623,0.021269,0.046717,0.234624,1.000000,TURN LEFT,1,1
432,7.207,640.00,606.73,-0.079082,0.027093,0.047588,0.236505,1.000000,GO STRAIGHT,1,1
438,7.307,640.00,607.33,-0.074748,0.023704,0.047638,0.237064,1.000000,GO STRAIGHT,1,1
444,7.407,640.00,606.83,-0.064783,0.012959,0.046634,0.238069,1.000000,GO STRAIGHT,1,1
450,7.508,640.00,604.82,-0.060010,0.005041,0.045684,0.238288,1.000000,GO STRAIGHT,1,1
456,7.608,640.00,611.83,-0.057656,0.013637,0.043664,0.239581,1.000000,GO STRAIGHT,1,1
462,7.708,640.00,612.63,-0.054715,0.011956,0.041757,0.240019,1.000000,GO STRAIGHT,1,1
468,7.808,640.00,611.59,-0.051108,0.006717,0.040139,0.240255,1.000000,GO STRAIGHT,1,1
474,7.908,640.00,612.19,-0.041508,-0.001940,0.028900,0.250000,1.000000,GO STRAIGHT,1,1
480,8.008,640.00,610.73,-0.035926,-0.009803,0.020808,0.250000,1.000000,GO STRAIGHT,1,1
486,8.108,640.00,603.87,-0.030168,-0.026281,0.014982,0.250000,1.000000,GO STRAIGHT,1,1
492,8.208,640.00,615.52,-0.021729,-0.016520,0.010787,0.250000,1.000000,GO STRAIGHT,1,1
498,8.308,640.00,618.87,-0.031168,-0.001854,0.007767,0.250000,0.985357,GO STRAIGHT,1,1
504,8.408,640.00,619.48,-0.045183,0.013115,0.005592,0.250000,1.000000,GO STRAIGHT,1,1
510,8.508,640.00,609.71,-0.064137,0.016810,0.015848,0.238566,0.994852,GO STRAIGHT,1,1
516,8.609,640.00,612.63,0.017791,-0.060564,0.011410,0.250000,0.971675,GO STRAIGHT,1,1
522,8.709,640.00,621.37,0.061910,-0.091017,0.008215,0.250000,1.000000,GO STRAIGHT,1,1
528,8.809,640.00,621.39,0.097179,-0.126251,0.005915,0.250000,1.000000,GO STRAIGHT,1,1
534,8.909,640.00,627.39,0.133838,-0.153547,-0.008800,0.237369,1.000000,GO STRAIGHT,1,1
540,9.009,640.00,606.84,0.059378,-0.111187,-0.006336,0.250000,1.000000,GO STRAIGHT,1,1
546,9.109,640.00,597.41,0.007969,-0.074513,0.000000,0.250000,0.981546,GO STRAIGHT,1,1
552,9.209,640.00,611.08,0.060764,-0.105951,0.000000,0.250000,0.990079,GO STRAIGHT,1,1
558,9.309,640.00,599.30,0.009229,-0.072821,0.000000,0.250000,0.978144,GO STRAIGHT,1,1
564,9.409,640.00,601.46,-0.025338,-0.034878,0.000000,0.250000,0.961237,GO STRAIGHT,1,1
570,9.510,640.00,601.12,-0.042962,-0.017785,0.010765,0.239588,0.977322,GO STRAIGHT,1,1
576,9.610,640.00,620.22,0.023664,-0.054572,0.007751,0.250000,1.000000,GO STRAIGHT,1,1
582,9.710,640.00,632.43,0.085112,-0.096938,0.005581,0.250000,0.974096,GO STRAIGHT,1,1
588,9.810,640.00,618.20,0.022742,-0.056812,0.000000,0.250000,0.960231,GO STRAIGHT,1,1
594,9.910,640.00,631.45,0.076047,-0.089408,0.000000,0.250000,0.979947,GO STRAIGHT,1,1
600,10.010,640.00,618.11,0.032718,-0.066917,0.000000,0.250000,0.960412,GO STRAIGHT,1,1
606,10.110,640.00,605.61,-0.005098,-0.048634,0.000000,0.250000,0.968411,GO STRAIGHT,1,1
612,10.210,640.00,619.08,0.045900,-0.078595,0.000000,0.250000,0.987249,GO STRAIGHT,1,1
618,10.310,640.00,633.64,0.097434,-0.107372,-0.009939,0.240387,0.998982,GO STRAIGHT,1,1
624,10.410,640.00,619.33,0.040750,-0.073043,-0.007156,0.250000,0.963000,GO STRAIGHT,1,1
630,10.511,640.00,612.69,0.012745,-0.055422,-0.005152,0.250000,0.957269,GO STRAIGHT,1,1
636,10.611,640.00,629.12,0.080813,-0.097808,0.000000,0.250000,0.977248,GO STRAIGHT,1,1
642,10.711,640.00,637.41,0.129028,-0.133069,-0.014055,0.236405,0.984623,TURN RIGHT,1,1
648,10.811,640.00,625.50,0.054539,-0.077200,-0.010120,0.250000,0.967624,GO STRAIGHT,1,1
654,10.911,640.00,614.03,0.008557,-0.049142,-0.007286,0.250000,0.971027,GO STRAIGHT,1,1
660,11.011,640.00,605.46,-0.024691,-0.029280,-0.005246,0.250000,0.982642,GO STRAIGHT,1,1
666,11.111,640.00,596.96,-0.046001,-0.021245,0.007965,0.238642,0.982462,GO STRAIGHT,1,1
672,11.211,640.00,611.23,0.026092,-0.071050,0.005735,0.250000,1.000000,GO STRAIGHT,1,1
678,11.311,640.00,596.89,-0.012912,-0.054451,0.000000,0.250000,0.970838,GO STRAIGHT,1,1
684,11.411,640.00,607.46,0.058372,-0.109217,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
690,11.511,640.00,621.50,0.088187,-0.117095,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
696,11.612,640.00,608.53,0.028578,-0.077756,0.000000,0.250000,0.980213,GO STRAIGHT,1,1
702,11.712,640.00,604.24,-0.013460,-0.042412,0.000000,0.250000,0.971512,GO STRAIGHT,1,1
708,11.812,640.00,601.23,-0.049642,-0.010932,0.011496,0.238880,0.994065,GO STRAIGHT,1,1
714,11.912,640.00,596.70,-0.069510,0.001856,0.022692,0.236057,0.981579,TURN LEFT,1,1
720,12.012,640.00,593.63,-0.084188,0.011739,0.032867,0.234012,1.000000,TURN LEFT,1,1
726,12.112,640.00,592.75,-0.098009,0.024174,0.041877,0.232384,1.000000,TURN LEFT,1,1
732,12.212,640.00,591.30,-0.104571,0.028483,0.049320,0.231459,1.000000,TURN LEFT,1,1
738,12.312,640.00,590.61,-0.108445,0.031278,0.055219,0.230937,1.000000,TURN LEFT,1,1
744,12.412,640.00,584.64,-0.107357,0.020852,0.060259,0.230170,1.000000,TURN LEFT,1,1
750,12.513,640.00,593.79,-0.115246,0.043039,0.063370,0.230670,1.000000,TURN LEFT,1,1
756,12.613,640.00,600.63,-0.128168,0.066653,0.066010,0.230284,1.000000,TURN LEFT,1,1
762,12.713,640.00,603.15,-0.121488,0.063912,0.066776,0.231381,1.000000,TURN LEFT,1,1
768,12.813,640.00,608.32,-0.125037,0.075541,0.066934,0.231762,1.000000,TURN LEFT,1,1
774,12.913,640.00,607.27,-0.124782,0.073642,0.067180,0.231634,1.000000,TURN LEFT,1,1
780,13.013,640.00,613.87,-0.066498,0.025677,0.059818,0.238926,1.000000,GO STRAIGHT,1,1
786,13.113,640.00,611.19,-0.078304,0.033285,0.056251,0.237250,1.000000,GO STRAIGHT,1,1
792,13.213,640.00,606.89,-0.086990,0.035248,0.055314,0.235671,1.000000,TURN LEFT,1,1
798,13.313,640.00,611.57,-0.098988,0.054566,0.055266,0.235066,1.000000,TURN LEFT,1,1
804,13.413,640.00,613.36,-0.101566,0.059935,0.055247,0.235051,1.000000,TURN LEFT,1,1
810,13.514,640.00,613.01,-0.102948,0.060779,0.055440,0.234850,1.000000,TURN LEFT,1,1
816,13.614,640.00,618.82,-0.109087,0.075991,0.055378,0.235045,1.000000,TURN LEFT,1,1
822,13.714,640.00,621.16,-0.114868,0.085433,0.055622,0.234766,1.000000,TURN LEFT,1,1
828,13.814,640.00,618.94,-0.116873,0.083974,0.056362,0.234220,1.000000,TURN LEFT,1,1
834,13.914,640.00,617.76,-0.115741,0.080997,0.056948,0.234168,1.000000,TURN LEFT,1,1
840,14.014,640.00,615.57,-0.113001,0.074823,0.057400,0.234139,1.000000,TURN LEFT,1,1
846,14.114,640.00,615.81,-0.116010,0.078212,0.058026,0.233849,1.000000,TURN LEFT,1,1
852,14.214,640.00,613.60,-0.116185,0.074928,0.058834,0.233503,1.000000,TURN LEFT,1,1
858,14.314,640.00,615.48,-0.117268,0.078963,0.059249,0.233665,1.000000,TURN LEFT,1,1
864,14.414,640.00,612.61,-0.116547,0.073746,0.059907,0.233317,1.000000,TURN LEFT,1,1
870,14.514,640.00,605.59,-0.109175,0.055414,0.060629,0.233077,1.000000,TURN LEFT,1,1
876,14.615,640.00,608.94,-0.111716,0.063178,0.060922,0.233296,1.000000,TURN LEFT,1,1
882,14.715,640.00,612.04,-0.116699,0.073005,0.061216,0.233216,1.000000,TURN LEFT,1,1
888,14.815,640.00,609.18,-0.108905,0.060746,0.060992,0.233637,1.000000,TURN LEFT,1,1
894,14.915,640.00,611.38,-0.109984,0.065269,0.060615,0.233846,1.000000,TURN LEFT,1,1
900,15.015,640.00,614.98,-0.108197,0.069107,0.059591,0.234573,1.000000,TURN LEFT,1,1
906,15.115,640.00,616.47,-0.110070,0.073300,0.058837,0.234590,1.000000,TURN LEFT,1,1
912,15.215,640.00,614.41,-0.110873,0.070886,0.058699,0.234198,1.000000,TURN LEFT,1,1
918,15.315,640.00,611.61,-0.108795,0.064436,0.058796,0.234009,1.000000,TURN LEFT,1,1
924,15.415,640.00,603.69,-0.096687,0.039945,0.058722,0.234147,1.000000,TURN LEFT,1,1
930,15.515,640.00,600.61,-0.093458,0.031912,0.058779,0.234041,1.000000,TURN LEFT,1,1
