frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected,control_source,reference_filename,reference_match_index,reference_latitude,reference_longitude,reference_heading_deg,reference_vpr_score,reference_alignment_error,route_turn_error,reference_confidence
156,2.603,640.00,501.91,-0.134489,-0.081278,0.094816,0.220483,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.136264,0.000000,0.813342
162,2.703,640.00,539.49,-0.064337,-0.092712,0.087758,0.231148,0.990317,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.087652,0.000000,0.813342
168,2.803,640.00,556.78,-0.088679,-0.041357,0.082740,0.231086,0.959601,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.087934,0.000000,0.813342
174,2.903,640.00,568.02,-0.087108,-0.025362,0.077590,0.232572,0.978539,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.081158,0.000000,0.813342
180,3.003,640.00,577.12,-0.039179,-0.059078,0.068406,0.237869,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.057011,0.000000,0.813342
186,3.103,640.00,587.65,-0.009418,-0.072377,0.049252,0.250000,0.970672,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.039345,0.000000,0.813342
192,3.203,640.00,595.82,0.033073,-0.102099,0.035462,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.017880,0.000000,0.813342
198,3.303,640.00,595.98,0.042160,-0.110946,0.025532,0.250000,0.994244,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.014161,0.000000,0.813342
204,3.403,640.00,604.04,0.064434,-0.120621,0.018383,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.000841,0.000000,0.813342
210,3.504,640.00,604.27,0.038737,-0.094565,0.013236,0.250000,0.986425,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.010995,0.000000,0.813342
216,3.604,640.00,589.77,0.002802,-0.081286,0.009530,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.033298,0.000000,0.813342
222,3.704,640.00,591.96,-0.006238,-0.068827,0.006862,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.035717,0.000000,0.813342
228,3.804,640.00,593.40,-0.032019,-0.040792,0.014812,0.240452,0.983879,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.045241,0.000000,0.813342
234,3.904,640.00,599.05,0.013586,-0.077575,0.010665,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.023911,0.000000,0.813342
240,4.004,640.00,579.40,-0.067113,-0.027571,0.021564,0.236569,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.066935,0.000000,0.748903
246,4.104,640.00,558.51,-0.088490,-0.038838,0.033673,0.232448,0.978946,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.086910,0.000000,0.748903
