filename,score,lat,lon,match_index,active_match_index,mixvpr_score,lightweight_score,filter_method,references_before_filtering,references_after_filtering,frame,best_match,confidence,search_start,search_stop,search_candidates,top_candidates
streetview_0013.jpg,26.94011926651001,50.10237128604651,14.392294730232559,13,3,23.205295205116272,42.500001192092896,rosa_v1,44,11,frame_00016.jpg,streetview_0013.jpg,low,3,4,2,"[""streetview_0013.jpg"", ""streetview_0017.jpg"", ""streetview_0037.jpg"", ""streetview_0025.jpg"", ""streetview_0021.jpg""]"
streetview_0017.jpg,26.754379272460938,50.102489527906975,14.392080339534884,17,4,23.002685606479645,55.000001192092896,rosa_v1,44,11,frame_00017.jpg,streetview_0017.jpg,low,3,4,2,"[""streetview_0017.jpg"", ""streetview_0013.jpg"", ""streetview_0037.jpg"", ""streetview_0025.jpg"", ""streetview_0029.jpg""]"
streetview_0017.jpg,28.51213812828064,50.102489527906975,14.392080339534884,17,4,24.85295832157135,57.50000476837158,rosa_v1,44,11,frame_00018.jpg,streetview_0017.jpg,low,4,5,2,"[""streetview_0017.jpg"", ""streetview_0005.jpg"", ""streetview_0029.jpg"", ""streetview_0033.jpg"", ""streetview_0021.jpg""]"
streetview_0017.jpg,23.57853353023529,50.102489527906975,14.392080339534884,17,4,19.65969204902649,72.50000238418579,rosa_v1,44,11,frame_00019.jpg,streetview_0017.jpg,low,4,5,2,"[""streetview_0017.jpg"", ""streetview_0005.jpg"", ""streetview_0033.jpg"", ""streetview_0025.jpg"", ""streetview_0029.jpg""]"
streetview_0017.jpg,23.926827311515808,50.102489527906975,14.392080339534884,17,4,20.026317238807678,64.99999761581421,rosa_v1,44,11,frame_00020.jpg,streetview_0017.jpg,low,4,5,2,"[""streetview_0017.jpg"", ""streetview_0021.jpg"", ""streetview_0033.jpg"", ""streetview_0005.jpg"", ""streetview_0029.jpg""]"
streetview_0017.jpg,29.763811826705933,50.102489527906975,14.392080339534884,17,4,26.170510053634644,57.50000476837158,rosa_v1,44,11,frame_00021.jpg,streetview_0017.jpg,low,4,5,2,"[""streetview_0017.jpg"", ""streetview_0033.jpg"", ""streetview_0021.jpg"", ""streetview_0005.jpg"", ""streetview_0009.jpg""]"
streetview_0017.jpg,27.141690254211426,50.102489527906975,14.392080339534884,17,4,23.410382866859436,44.999998807907104,rosa_v1,44,11,frame_00022.jpg,streetview_0017.jpg,low,4,5,2,"[""streetview_0017.jpg"", ""streetview_0033.jpg"", ""streetview_0021.jpg"", ""streetview_0009.jpg"", ""streetview_0029.jpg""]"
streetview_0021.jpg,28.517946600914,50.10260776976744,14.391865948837209,21,5,24.863022565841675,92.49999523162842,rosa_v1,44,11,frame_00023.jpg,streetview_0021.jpg,low,4,5,2,"[""streetview_0021.jpg"", ""streetview_0033.jpg"", ""streetview_0009.jpg"", ""streetview_0017.jpg"", ""streetview_0029.jpg""]"
streetview_0021.jpg,29.57800328731537,50.10260776976744,14.391865948837209,21,5,25.978869199752808,92.49999523162842,rosa_v1,44,11,frame_00024.jpg,streetview_0021.jpg,low,5,6,2,"[""streetview_0033.jpg"", ""streetview_0021.jpg"", ""streetview_0009.jpg"", ""streetview_0017.jpg"", ""streetview_0029.jpg""]"
streetview_0021.jpg,29.049333930015564,50.10260776976744,14.391865948837209,21,5,25.42237639427185,100.0,rosa_v1,44,11,frame_00025.jpg,streetview_0021.jpg,low,5,6,2,"[""streetview_0021.jpg"", ""streetview_0033.jpg"", ""streetview_0009.jpg"", ""streetview_0001.jpg"", ""streetview_0017.jpg""]"
streetview_0021.jpg,32.18173384666443,50.10260776976744,14.391865948837209,21,5,28.719639778137207,100.0,rosa_v1,44,11,frame_00026.jpg,streetview_0021.jpg,low,5,6,2,"[""streetview_0021.jpg"", ""streetview_0033.jpg"", ""streetview_0009.jpg"", ""streetview_0029.jpg"", ""streetview_0017.jpg""]"
streetview_0021.jpg,28.420516848564148,50.10260776976744,14.391865948837209,21,5,24.76046532392502,92.49999523162842,rosa_v1,44,11,frame_00027.jpg,streetview_0021.jpg,low,5,6,2,"[""streetview_0021.jpg"", ""streetview_0033.jpg"", ""streetview_0009.jpg"", ""streetview_0001.jpg"", ""streetview_0025.jpg""]"
streetview_0021.jpg,26.246628165245056,50.10260776976744,14.391865948837209,21,5,22.472159564495087,92.49999523162842,rosa_v1,44,11,frame_00028.jpg,streetview_0021.jpg,low,5,6,2,"[""streetview_0021.jpg"", ""streetview_0033.jpg"", ""streetview_0025.jpg"", ""streetview_0017.jpg"", ""streetview_0009.jpg""]"
streetview_0021.jpg,24.824000895023346,50.10260776976744,14.391865948837209,21,5,20.97465693950653,100.0,rosa_v1,44,11,frame_00029.jpg,streetview_0021.jpg,low,5,6,2,"[""streetview_0021.jpg"", ""streetview_0033.jpg"", ""streetview_0025.jpg"", ""streetview_0017.jpg"", ""streetview_0009.jpg""]"
streetview_0025.jpg,26.35256052017212,50.10272601162791,14.391651558139534,25,6,22.586026787757874,32.499998807907104,rosa_v1,44,11,frame_00030.jpg,streetview_0025.jpg,low,5,6,2,"[""streetview_0025.jpg"", ""streetview_0021.jpg"", ""streetview_0033.jpg"", ""streetview_0001.jpg"", ""streetview_0017.jpg""]"
streetview_0025.jpg,26.724284887313843,50.10272601162791,14.391651558139534,25,6,22.97731637954712,60.00000238418579,rosa_v1,44,11,frame_00031.jpg,streetview_0025.jpg,low,6,7,2,"[""streetview_0025.jpg"", ""streetview_0017.jpg"", ""streetview_0021.jpg"", ""streetview_0001.jpg"", ""streetview_0029.jpg""]"
streetview_0025.jpg,32.41762816905975,50.10272601162791,14.391651558139534,25,6,28.97031009197235,47.49999940395355,rosa_v1,44,11,frame_00032.jpg,streetview_0025.jpg,low,6,7,2,"[""streetview_0025.jpg"", ""streetview_0017.jpg"", ""streetview_0037.jpg"", ""streetview_0029.jpg"", ""streetview_0005.jpg""]"
streetview_0025.jpg,30.605274438858032,50.10272601162791,14.391651558139534,25,6,27.062571048736572,32.50000178813934,rosa_v1,44,11,frame_00033.jpg,streetview_0025.jpg,low,6,7,2,"[""streetview_0025.jpg"", ""streetview_0017.jpg"", ""streetview_0037.jpg"", ""streetview_0029.jpg"", ""streetview_0005.jpg""]"
