frame,best_match,score,cnn_score,dino_score,lat,lon,match_index
frame_00000.jpg,streetview_0001.jpg,70.17171919345856,81.77386522293091,60.679054260253906,50.10201656046512,14.392937902325583,1
frame_00001.jpg,streetview_0001.jpg,68.52363020181656,83.1447184085846,56.56092166900635,50.10201656046512,14.392937902325583,1
frame_00002.jpg,streetview_0001.jpg,65.16170382499695,79.65606451034546,53.30268144607544,50.10201656046512,14.392937902325583,1
frame_00003.jpg,streetview_0001.jpg,65.72090238332748,76.34767889976501,57.02626705169678,50.10201656046512,14.392937902325583,1
frame_00004.jpg,streetview_0001.jpg,66.05473190546036,76.98728442192078,57.10991621017456,50.10201656046512,14.392937902325583,1
frame_00005.jpg,streetview_0001.jpg,66.71283632516861,79.92386817932129,55.903810262680054,50.10201656046512,14.392937902325583,1
frame_00006.jpg,streetview_0001.jpg,70.50870776176453,79.63234186172485,63.04391622543335,50.10201656046512,14.392937902325583,1
frame_00007.jpg,streetview_0001.jpg,67.69078761339188,79.59451675415039,57.95137286186218,50.10201656046512,14.392937902325583,1
frame_00008.jpg,streetview_0001.jpg,72.08454191684723,78.88854146003723,66.51763319969177,50.10201656046512,14.392937902325583,1
frame_00009.jpg,streetview_0001.jpg,72.68007606267929,86.37270331382751,61.477017402648926,50.10201656046512,14.392937902325583,1
frame_00010.jpg,streetview_0001.jpg,71.35705411434174,82.28071928024292,62.41950988769531,50.10201656046512,14.392937902325583,1
frame_00011.jpg,streetview_0001.jpg,72.57078945636749,85.7182264328003,61.81379556655884,50.10201656046512,14.392937902325583,1
frame_00012.jpg,streetview_0001.jpg,71.97081387042999,84.14665460586548,62.00876235961914,50.10201656046512,14.392937902325583,1
frame_00013.jpg,streetview_0001.jpg,70.71728736162186,80.15279173851013,62.997329235076904,50.10201656046512,14.392937902325583,1
frame_00014.jpg,streetview_0001.jpg,68.1096813082695,83.30433964729309,55.677688121795654,50.10201656046512,14.392937902325583,1
frame_00015.jpg,streetview_0001.jpg,69.2621311545372,85.90309023857117,55.64680099487305,50.10201656046512,14.392937902325583,1
frame_00016.jpg,streetview_0001.jpg,71.23579978942871,83.49975347518921,61.201655864715576,50.10201656046512,14.392937902325583,1
